date,team,player,position,crimeraw,desc
9/11/2014,MIN,Adrian Peterson,RB,child abuse,"Grand jury in Montgomery County, Texas indicted him on felony charge of injury to a child. Accused of injuring his 4-year-old son with a tree branch while disciplining him."
9/4/2014,NYJ,Quincy Enunwa,WR,domestic violence,"Charged with simple assault after alleged incident with woman at hotel in Florham Park, N.J."
8/30/2014,SF,Ray McDonald,DE,domestic violence,"Suspected of domestic violence against pregnant fiance in Santa Clara County, Calif. She showed police bruising on her body."
8/23/2014,BUF,Alan Branch,DT,dui,"Accused of drunken driving, blood-alcohol content of 0.14, after police say they noticed him vomiting out of car door in Cheektowaga, N.Y."
8/20/2014,PIT,Le'Veon Bell,RB,drugs,Pulled over and suspected of marijuana possession with teammate LeGarrette Blount in passenger seat.
8/20/2014,PIT,LeGarrette Blount,RB,drugs,"Was riding in passenger seat when police pulled over car driven by teammate Le'Veon Bell. Suspected of possessing bag with about 20 ounces of marijuana in Ross Township, Penn."
8/11/2014,WAS,Bashaud Breeland,CB,drugs,Cited for marijuana possession at gas station by police of Virginia Commonwealth University.
7/23/2014,JAC,Justin Blackmon,WR,drugs,"Pulled over for traffic violation in Oklahoma, accused of marijuana possession."
7/20/2014,STL,Jo-Lonn Dunbar,LB,battery,Accused of getting into a fight with NBA free agent Donte Greene outside club in Miami Beach.
7/18/2014,PHI,Keelan Johnson,S,assault,"Accused of striking police officer, disordery conduct during disturbance at a bar in Tempe, Ariz."
7/12/2014,BAL,Jimmy Smith,CB,disorderly conduct,Accused of refusing to obey police orders during incident at a bar in Maryland. Smith said he was trying to help an intoxicated woman.
7/7/2014,MIN,Jerome Simpson,WR,drugs,"Pulled over and suspected of marijuana possession, open container and violating terms of his driver's license in Hennepin County, Minn."
7/5/2014,CLE,Josh Gordon,WR,dui,"Accused of driving while impaired after being pulled over for speeding in Raleigh, N.C."
6/29/2014,ARI,John Abraham,LB,dui,Accused of drunken driving after an officer found him passed out behind the wheel of his car outside Atlanta.
6/25/2014,CIN,Sam Montgomery,DE,traffic - other,Spent night in jail in South Carolina after being clocked at 89 mph in 55-mph zone.
6/24/2014,IND,Andrew Jackson,LB,dui,"Accused of drunk driving and speeding in Muncie, Ind."
6/20/2014,CHI,Cornelius Washington,DE,traffic - other,"Pulled over for speeding, accused of driving with a suspended license in Glascock County, Ga."
6/9/2014,KC,Sean Smith,CB,dui,Accused of drunken driving after a police officer said he saw Smith drive his car into a pole in Kansas City.
5/30/2014,BUF,Marcell Dareus,DT,reckless endagerment,"Accused of crashing his Jaguar into a tree in Hamburg, N.Y., drag racing and reckless endangerment."
5/24/2014,ATL,Darius Johnson,WR,dui,"Suspected of drunk driving, failure to obey traffic signs in Atlanta."
5/24/2014,BAL,Lorenzo Taliaferro,RB,alcohol - other,"Accused of destroying a taxi cab window in Williamsburg, Va., being drunk in public."
5/22/2014,DEN,T.J. Ward,S,assault,Accused of throwing a glass at a female bartender at strip club in Denver.
5/13/2014,CAR,Greg Hardy,DE,domestic violence,Police responded to call and reported that a woman accused Hardy of assaulting her and threatening her in Charlotte.
5/5/2014,BUF,Marcell Dareus,DT,drugs,"Pulled over for speeding in Alabama, accused of felony drug possession."
4/27/2014,CHI,Josh Morgan,WR,assault,"Accused of simple assault, punching another man outside of a nightclub in Washington, D.C."
4/16/2014,JAC,Tandon Doss,WR,disorderly conduct,Accused of refusing to listen to police orders in Indianapolis after two men reported him to police and said Doss was following them in his car.
4/13/2014,SF,Aldon Smith,LB,disorderly conduct,Accused of making a false bomb threat at Los Angeles airport after being selected for secondary screening.
3/31/2014,CIN,Orson Charles,FB,firearms,"Accused of brandishing gun in car in apparent road rage incident in Madison County, Ky."
3/29/2014,STL,Greg Reid,CB,probation violation,"Accused of undiclosed probation violation stemming from 2012 arrest after the car he was riding in was pulled over in Valdosta, Ga., for seatbelt violation."
3/28/2014,SF,Chris Culliver,CB,reckless endagerment,"Accused of hitting a bicyclist with his vehicle, felony hit-and-run and possession of brass knuckles in San Jose. He allegedly threatened witness with brass knuckles."
3/28/2014,SF,Chris Culliver,CB,weapons,"Accused of hitting a bicyclist with his vehicle, felony hit-and-run and possession of brass knuckles in San Jose. He allegedly threatened witness with brass knuckles."
3/21/2014,TEN,Adewale Ojomo,DE,sex - other,"Accused of soliciting a prostitute in Miami for $100, busted by undercover cop."
3/9/2014,BAL,Jah Reid,OL,battery,"Acccused of getting into a fight at an adult entertainment establishment in Key West, Fla."
3/7/2014,OAK,Kory Sheets,RB,drugs,"Pulled over for speeding in Canada, accused of marijuana possession."
2/21/2014,BAL,Deonte Thompson,WR,drugs,"Accused of marijuana possession in Gainesville, Fla., after Chevrolet SUV he was riding in was pulled over for driving without its headlights on."
2/20/2014,WAS,Fred Davis,TE,dui,"Accused of drunk driving in Tysons Corner, Va., after passerby called police to report a man apparently asleep in his Rolls-Royce."
2/18/2014,ATL,Roddy White,WR,failure to appear,"Pulled over for speeding in Gwinnett County, Ga., accused of failing to appear on illegal window tint charge from a year earlier."
2/15/2014,BAL,Ray Rice,RB,domestic violence,"Accused of striking his wife at Atlantic City casino, rendering her unconscious. She also is accused of hitting him."
1/26/2014,SF,Daniel Kilgore,OG,alcohol - other,"Accused of being drunk in public in Kingsport, Tenn."
1/17/2014,CLE,Davone Bess,WR,assault,"Accused of assaulting a law enforcement officer and disorderly conduct after bizarre behavior at airport in Fort Lauderdale, Fla."
1/14/2014,TB,Akeem Spence,DT,drugs,"Pulled over for speeding in Alabama, accused of marijuana possession after police dog searched car."
1/12/2014,SEA,Spencer Ware,RB,dui,"Pulled over by Washington State Patrol, suspected of drunken driving in Seattle."
1/9/2014,TB,Michael Hill,RB,resisting arrest,"Accused of refusing to obey a lawful officer, disorderly conduct stemming from fight at bar in St. Joseph, Mo."
1/1/2014,MIN,Erin Henderson,LB,dui,"Accused of drunken driving for second time since November after allegedly crashing into trees in parking lot in Chanhassen, Minn. Also accused of marijuana possession."
1/1/2014,MIN,Erin Henderson,LB,drugs,"Accused of drunken driving for second time since November after allegedly crashing into trees in parking lot in Chanhassen, Minn. Also accused of marijuana possession."
12/30/2013,NYJ,Kellen Winslow Jr.,TE,drugs,"Accused of possession of synthetic marijuana after police responded to a complaint of him in a parked car outside a Target store in East Hanover, N.J. on Nov. 19."
12/29/2013,SD,Thomas Keiser,LB,assault,Accused of getting into a fight with another man outside a bar in downtown San Diego after Chargers' game.
12/22/2013,CHI,Henry Melton,DT,assault,"Accused of public intoxication and attacking a man at a bar in Grapevine, Texas."
12/22/2013,CHI,Henry Melton,DT,alcohol - other,"Accused of public intoxication and attacking a man at a bar in Grapevine, Texas."
12/20/2013,NYG,Will Hill,S,child support,"Arrested in Hudson County, N.J., on warrant related to lack of child-support payments."
11/25/2013,MIN,A.J. Jefferson,CB,domestic violence,"Taken to jail by Eden Prairie, Minn., police on probable cause of domestic assault."
11/19/2013,MIN,Erin Henderson,LB,dui,"Failed breath test during traffic stop, suspected of drunk driving in Eden Prairie, Minn., with blood-alcohol measured at 0.11. He said police didn't have grounds to stop his car."
11/15/2013,ATL,Jason Snelling,FB,drugs,"Pulled over for traffic violation in Winder, Ga., accused of marijuana possession of less than one ounce, no registration."
11/10/2013,KC,Dwayne Bowe,WR,drugs,"Pulled over for going 48 mph in a 35-mph zone in suburban Kansas City, accused of marijuana possession after police smelled odor and searched car."
11/9/2013,MIN,Jerome Simpson,WR,dui,"Accused of drunk driving in Hennepin County, Minn., after police responded to a report of a stalled vehicle. He failed sobriety tests."
11/1/2013,ARI,Lequan Jefferson,TE,dui,"Police in Scottsdale, Ariz., stopped him after report of a collision. Blood-alcohol measured at .156."
10/9/2013,SF,Aldon Smith,LB,firearms,"Case stems from house party in June 2012, in which Smith was stabbed. Three felony counts of illegal possession of an assault weapon in Santa Clara County, Calif."
9/23/2013,CIN,Adam Jones,CB,disorderly conduct,He was the passenger in a car pulled over for speeding and was cited for disorderly conduct in Cincinnati. The driver was charged with drunk driving.
9/20/2013,SF,Aldon Smith,LB,dui,"Accused of drunk driving and marijuana possession after crashing his pickup truck in San Jose, Calif."
9/20/2013,SF,Aldon Smith,LB,drugs,"Accused of drunk driving and marijuana possession after crashing his pickup truck in San Jose, Calif."
9/5/2013,DEN,Von Miller,LB,traffic - other,"Pulled over for speeding in Arapahoe County, Colo., accused of driving with a suspended license. Second traffic issue in six weeks."
9/2/2013,IND,John Boyett,S,alcohol - other,"Accused of getting into an altercation with police, public intoxication and not departing a bar in Indianapolis when asked."
8/28/2013,DEN,Julius Thomas,TE,failure to appear,"Pulled over for speeding, charged with failing to appear in court in Arapahoe County, Colo., for previous traffic ticket from Jan. 25, 2013."
8/17/2013,BUF,Nigel Bradham,LB,drugs,"Pulled over for window-tint violation Tonawanda, N.Y., charged with marijuana possession."
8/11/2013,DEN,Von Miller,LB,outstanding warrant,"Arrested near Denver on warrant for failure to appear in court on previous traffic charges, including careless driving and driving without a license."
7/30/2013,NYJ,Joe McKnight,RB,outstanding warrant,"Pulled over for speeding in Morris County, N.J., he was accused of having outstanding warrants for previous unpaid traffic fines."
7/12/2013,TB,Eric Wright,CB,dui,Arrested in Los Angeles on suspicion of drunken driving.
7/11/2013,NE,Alfonzo Dennard,CB,dui,"Pulled over around 2 a.m. in Lincoln, Neb., arrested on suspicion of drunken driving."
7/6/2013,NYG,Dan Connor,LB,weapons,Accused of having a switchblade in his luggage at Philadelphia airport. Charged with possession of offensive weapon.
6/29/2013,IND,Joe Lefeged,S,firearms,"Accused of fleeing police and multiple gun charges in Washington, D.C., including carrying unlicensed gun."
6/26/2013,NE,Aaron Hernandez,TE,murder,"Charged with first-degree murder in death of friend Odin Lloyd, five gun charges in North Attleborough, Mass."
6/26/2013,NE,Aaron Hernandez,TE,firearms,"Charged with first-degree murder in death of friend Odin Lloyd, five gun charges in North Attleborough, Mass."
6/25/2013,CLE,Ausar Walcott,LB,attempted murder,"Turned himself in after allegedly punching man in head outside night club in Passaic County, N.J."
6/12/2013,PHI,Jason Peters,OT,resisting arrest,"Accused of drag racing and resisting arrest in Monroe, La."
6/11/2013,BAL,Damien Berry,RB,failure to appear,Accused in Baltimore County of not appearing in court for charge of driving with a suspended license in January.
6/10/2013,CIN,Adam Jones,CB,assault,Accused of punching a woman outside a Cincinnati bar on June 5. It is his eighth run-in with the law since 2005.
5/31/2013,CHI,Evan Rodriguez,FB,dui,Arrested for drunken driving in Chicago after getting pulled over at 3:30 a.m.
5/30/2013,TB,Cody Grimm,S,alcohol - other,"Arrested in Leesburg, Va., where he was attending a wedding. Second arrest on same charge since March."
5/29/2013,NO,Joe Morgan,WR,dui,Arrested on drunken driving charge after being found asleep behind wheel on expressway in Louisiana
5/19/2013,DEN,Quentin Saulsberry,C,dui,"Pulled over after 2 a.m., accused of drunken driving and lane violation in Arapahoe County, Colo."
5/17/2013,NYJ,Mike Goodson,RB,drugs,"Accused of marijuana possession and having an illegal gun with hollow-point bullets in Denville, N.J.."
5/17/2013,NYJ,Mike Goodson,RB,firearms,"Accused of marijuana possession and having an illegal gun with hollow-point bullets in Denville, N.J.."
5/5/2013,SEA,Josh Portis,QB,dui,"Pulled over for speeding by Washington State trooper, accused of drunken driving."
5/3/2013,CLE,Armonty Bryant,DE,dui,"Accused of drunken driving in Ada, Okla. Blood-alcohol content of .098."
5/3/2013,ARI,Daryl Washington,LB,domestic violence,"Accused of assaulting ex-girlfriend in Phoenix, grabbing her by throat and shoving her to the ground."
4/29/2013,NYJ,Claude Davis,DE,drugs,"Charged with marijuana possession after police saw occupied vehicle filled with smoke in Morristown, N.J."
4/29/2013,NYJ,Cliff Harris,CB,drugs,"Charged with marijuana possession after police saw occupied vehicle filled with smoke in Morristown, N.J."
4/21/2013,BAL,Rolando McClain,LB,disorderly conduct,"Accused of resisting arrest at park in Decatur, Ala., after police responded to report of disturbance"
4/20/2013,DET,Ronnell Lewis,LB,alcohol - other,"Charged with three misdemeanors, including disturbing the peace outside bar in Norman, Okla."
4/18/2013,ATL,William Moore,S,domestic violence,"Accused of grabbing woman by shoulder in dispute, charged with simple battery in Fulton County, Ga."
4/17/2013,CLE,Quentin Groves,LB,sex - other,"Accused of responding to sex-for-hire advertisement in prostitution sting in Orange, Ohio."
4/13/2013,CLE,Greg Little,WR,reckless endagerment,"Accused of drag racing after one-car crash involving his 2011 Audi. He left about 40 yards of brake tracks after driving 127 mph in Strongsville, Ohio."
3/26/2013,DET,Amari Spievey,S,domestic violence,"Accused of third-degree assault, risk of injury to a child and disorderly conduct in dispute with girlfriend about child support in Middletown, Conn."
3/22/2013,STL,Trumaine Johnson,CB,dui,"Accused of misdmeanor drunken-driving in Missoula, Montana."
3/21/2013,CHI,Evan Rodriguez,FB,resisting arrest,Accused of disorderly intoxication and resisting arrest after traffic stop in Miami Beach.
3/17/2013,OAK,Kaluka Maiava,LB,assault,"Accused of beating two men at a bar in Maui, Hawaii along with his brother."
3/10/2013,TB,Cody Grimm,S,alcohol - other,"Accused of public intoxication in Christianburg, Va."
3/9/2013,DEN,Quinton Carter,S,fraud,Accused of felony cheating at craps in North Las Vegas casino. He allegedly placed $5 chips on table after dice rolled.
3/7/2013,ARI,Javarris James,RB,failure to appear,"Accused in Lee County, Fla., of failing to appear in court to face previous marijuana possession charge."
2/24/2013,OAK,Desmond Bryant,DT,criminal mischief,Accused of misdemeanor mischief in Miami. Related lawsuit says he tried to break down door of house.
2/24/2013,CHI,J'Marcus Webb,OT,drugs,"Charged with possession of a controlled substance, marijuana and paraphernalia in Pulaski County, Ill."
2/23/2013,TEN,Brandon Barden,TE,dui,"Charged with drunken driving after single-car accident in Lincolnton, Ga. Car left road and flipped."
2/20/2013,SF,Al Netter,OG,dui,"Charged with drunken driving in San Jose, Calif."
2/18/2013,TB,Da'Quan Bowers,DE,firearms,Arrested at LaGuardia airport after allegedly packing gun into his carry-on bag.
2/8/2013,Free agent,Michael Boley,LB,child abuse,Accused of excessive spanking in incident involving a child at a hotel in Alabama in 2011. He later signed with Cincinnati.
2/4/2013,IND,Moise Fokou,LB,dui,Charged with drunk driving for arrest in January in Washington D.C.
1/29/2013,SEA,Leroy Hill,LB,domestic violence,"Accused of third-degree assault and unlawful imprisonment in dispute with girlfriend in King County, Wash."
1/22/2013,DAL,Jay Ratliff,DT,dui,"Accused of drunken driving after crashing his Ford pickup truck into an 18-wheeler in Grapevine, Texas."
1/17/2013,CIN,Andre Smith,OT,firearms,Accused of bringing loaded .38 pistol in carry-on bag at the Atlanta airport.
1/10/2013,PIT,Chris Rainey,RB,domestic violence,"Accused of slapping girlfriend in face in dispute over cell phone in Gainesville, Fla."
1/8/2013,OAK,Rolando McClain,LB,fraud,"Pulled over for window-tint violation in Alabama, accused of giving false name to police."
1/4/2013,CIN,Robert Sands,S,domestic violence,"Accused of assaulting his wife at their home in Florence, Ky. Wife treated at hospital for minor injuries."
12/8/2012,DAL,Josh Brent,DT,dui,"Charged with intoxication manslaughter after flipping his car, killing teammate Jerry Brown in Irving, Texas. Police report blood-alcohol content at .189."
12/1/2012,KC,Jovan Belcher,LB,murder,"Fatally shot his girlfriend 10 times in Kansas City, then drove to team facility and fatally shot himself in head."
12/1/2012,KC,Jovan Belcher,LB,firearms,"Fatally shot his girlfriend 10 times in Kansas City, then drove to team facility and fatally shot himself in head."
11/30/2012,SF,Demarcus Dobbs,TE,dui,"Suspected of drunk driving and marijuana possession at 3:45 a.m. after crashing car on 25th birthday in Santa Clara, Calif."
11/26/2012,MIA,Jonathan Amaya,S,battery,Accused of choking cab driver outside club in Miami Beach at 4:30 a.m.
10/31/2012,NYJ,Bryan Thomas,LB,domestic violence,Charged with assault on wife at their New Jersey home. He allegedly punched her in stomach.
10/30/2012,TB,Ahmad Black,CB,drugs,"Accused of having less than 20 grams of marijuana after being pulled over at 1:56 a.m. in Tampa, Fla."
10/14/2012,PIT,Alameda Ta'amu,DT,dui,"Accused of resisting arrest, eluding police and drunk driving after hitting several parked cars"
9/24/2012,ATL,John Abraham,DE,obstruction,Accused of obstructing police and firefighters in Atlanta who responded to a call about a woman threatening to jump from a building.
9/18/2012,ATL,Michael Turner,RB,dui,Charged with drunk driving just hours after scoring a touchdown in a win against Denver on Monday night.
9/7/2012,DAL,Ronald Leary,OG,dui,"Pulled over near Dallas, suspected of driving drunk after failing sobriety test."
8/25/2012,SEA,John Moffitt,OG,disorderly conduct,"Banned from mall in Bellevue, Wash., in January 2012, he later was accused of trespassing there, obstrucing police and public urination."
8/11/2012,MIA,Chad Johnson,WR,domestic violence,"Accused in Davie, Fla., of head-butting the wife he married a month earlier."
7/21/2012,DET,Aaron Berry,CB,assault,"Charged with simple assault during incident in which he brandished a gun in Harrisburg, Penn."
7/21/2012,DET,Aaron Berry,CB,firearms,"Charged with simple assault during incident in which he brandished a gun in Harrisburg, Penn."
7/20/2012,TEN,Kenny Britt,WR,dui,Charged with drunken driving after trying to pass through security gate at Fort Campbell Army post in Kentucky.
7/19/2012,KC,Donald Washington,CB,dui,"Stopped for speeding by Illinois state police, who detected an odor of marijuana. Charged with DUI drugs."
7/19/2012,KC,Donald Washington,CB,drugs,"Stopped for speeding by Illinois state police, who detected an odor of marijuana. Charged with DUI drugs."
7/16/2012,DAL,Dez Bryant,WR,domestic violence,"Turned himself in after being accused by his mother of hitting her in DeSoto, Texas."
7/14/2012,DEN,Elvis Dumervil,DE,assault,Accused of aggravated assault with a firearm in Miami after allegedly lifting his shirt to show a gun to a motorist.
7/14/2012,DEN,Elvis Dumervil,DE,firearms,Accused of aggravated assault with a firearm in Miami after allegedly lifting his shirt to show a gun to a motorist.
7/14/2012,SEA,Marshawn Lynch,RB,dui,"Pulled over in Oakland, Calif., and taken to Santa Rita Jail on DUI charge."
7/13/2012,JAC,Odrick Ray,DE,traffic - other,"Pulled over in Tulsa, Okla., for speeding and arrested for having outstanding traffic warrrants."
7/10/2012,STL,Robert Quinn,DE,dui,"Charged with driving while intoxicated and two other traffic charges in Florissant, Mo."
7/8/2012,PHI,Dion Lewis,RB,reckless endangerment,"Charged with falsely reporting a fire and reckless endangerment. Police said he and his brother tried to knock down door at hotel near Albany, N.Y."
7/7/2012,STL,Isaiah Pead,RB,drugs,"Charged with marijuana possession in McKinney, Texas."
7/7/2012,MIN,Adrian Peterson,RB,resisting arrest,"Arrested in downtown Houston on charge of resisting arrest at nightclub after he ""assumed an aggressive stance."""
7/2/2012,TB,Eric Wright,CB,dui,Charged with felony drunk driving in Los Angeles after being involved in an accident that caused an injury.
7/1/2012,CLE,Kiante Tripp,DT,burglary,Arrested near Atlanta on suspicion of felony burglary after allegedly having gun and threatening people in an apartment.
7/1/2012,CLE,Kiante Tripp,DT,firearms,Arrested near Atlanta on suspicion of felony burglary after allegedly having gun and threatening people in an apartment.
6/30/2012,BAL,Albert McClellan,LB,domestic violence,"Former girlfriend accused him of throwing lamp at her and grabbing her in Lakeland, Fla. No visible signs of injury."
6/23/2012,DET,Aaron Berry,CB,dui,"Arrested on suspicion of drunk driving in Harrisburg, Penn., after slamming into parked cars."
6/10/2012,NYG,David Diehl,OT,dui,"Arrested on DUI charge in Queens, N.Y. after hitting parked cars. Blood-alcohol content of .18."
6/3/2012,JAC,Justin Blackmon,WR,dui,"Arrested in Stillwater, Okla., on DUI charge after traffic stop. Blood-alcohol three times the limit."
6/2/2012,MIN,Jerome Felton,FB,dui,"Arrested on DUI charge in drive-thru lane at McDonald's in Eden Prairie, Minn.."
5/27/2012,DET,Nick Fairley,DT,dui,"Arrested on DUI charge and eluding police in Mobile, Ala., after being pulled over for going 100 mph."
4/28/2012,MIN,Caleb King,RB,assault,"Accused of third-degree assault in incident that put another man in the hospital with a skull fracture in Anoka County, Minn."
4/26/2012,WAS,Brandon Meriweather,S,dui,"Pulled over for speeding, charged with drunken driving after failing sobriety test in Arlington County, Va."
4/7/2012,OAK,Darrius Heyward-Bey,WR,dui,"Pulled over on Bay Bridge in California, charged with DUI."
4/3/2012,DET,Nick Fairley,DT,drugs,"Pulled over in Mobile, Ala., charged with marijuana possession after police found marijuana cigarettes."
3/30/2012,MIA,Koa Misi,LB,battery,"Arrested in Weston, Fla., on warrant. Accused of punching a man in the eye in California in 2011."
3/17/2012,Free agent,Samson Satele,C,disorderly conduct,Arrested at a shopping complex in Hawaii. He later signed with Indianapolis.
3/12/2012,DET,Mikel Leshoure,RB,drugs,"Charged with marijuana possession after traffic stop in Michigan, his second in a month."
2/26/2012,SEA,Jarriel King,OT,sex - other,Charged with having forcible sex with woman in South Carolina who said she was intoxicated.
2/25/2012,SEA,Leroy Hill,LB,drugs,Accused of marijuana possession in Atlanta and report of strong odor coming from apartment.
2/23/2012,JAC,Nate Collins,DT,drugs,"Accused of marijuana possession after traffic stop in Warrenton, Va. Police pulled him over because of his tinted windows."
2/18/2012,DET,Mikel Leshoure,RB,drugs,"Pulled over for speeding, charged with marijuana possession in Benton Township, Mich."
2/13/2012,CHI,J.T. Thomas,LB,drugs,"Pulled over for going wrong way on one-way street in Morgantown, W.V. Police say they found marijuana."
2/8/2012,SF,Ray McDonald,DE,outstanding warrant,"Pulled over in Sunnyvale, Calif., arrested on outstanding warrant from drunken driving case in 2010."
2/5/2012,CIN,Rey Maualuga,LB,assault,Charged with misdemeanor assault after bar employee in Cincinnati said Maualuga hit him in the face.
2/1/2012,DEN,Knowshon Moreno,RB,dui,"Charged with drunken driving after being pulled over for speeding in Denver. License plate reportedly was ""SAUCED."""
1/27/2012,SF,Aldon Smith,LB,dui,Accused of drunken driving in Miami Beach.
1/23/2012,DET,Johnny Culbreath,OT,drugs,Accused of marijuana possession at Comfort Inn in South Carolina.
1/19/2012,CIN,Jerome Simpson,WR,drugs,"Accused in Kenton County, Ky., of marijuana trafficking after 2.5 pounds of it were delivered to his home the previous September."
12/30/2011,MIN,Benny Sapp,CB,assault,Accused of fifth-degree assault and careless driving after dispute with security guard who tried to detain him at hospital in Minneapolis.
12/14/2011,CHI,Sam Hurd,WR,drugs,Accused in Chicago of accepting a kilogram of cocaine from undercover officer and trying to set up drug distribution network.
11/30/2011,OAK,Rolando McClain,LB,assault,"Accused of discharging a gun within city limits of Decatur, Ala., and putting a gun next to a man's head in fight."
11/30/2011,OAK,Rolando McClain,LB,firearms,"Accused of discharging a gun within city limits of Decatur, Ala., and putting a gun next to a man's head in fight."
11/25/2011,GB,Erik Walden,LB,domestic violence,"Jailed after complaint of felony assault against live-in girlfriend in Brown County, Wisc."
11/2/2011,CAR,Lawrence Wilson,LB,drugs,"Pulled over for speeding in Salisbury, N.C., accused of having 11 grams of marijuana."
11/1/2011,NE,Julian Edelman,WR,assault,Accused of touching a woman inappropriately at a nightclub on Halloween night in Boston.
10/22/2011,MIN,Chris Cook,CB,domestic violence,"Accused of domestic assault after neighbor called 911 to report argument in Hennepin County, Minn."
10/14/2011,DEN,Ryan McBean,DT,stalking,"Accused of felony stalking in Denver, ordered to cease contact with victim."
10/1/2011,GB,Johnny Jolly,DE,drugs,"Pulled over in Houston, accused of possessing narcotic containing codeine and tampering with evidence to conceal it."
9/20/2011,MIN,Tyrell Johnson,S,dui,Accused of fourth-degree drunken driving with blood-alcohol content of 0.12 in Minneapolis.
9/2/2011,DAL,Kevin Ogletree,WR,outstanding warrant,"Pulled over for speeding in Coppell, Texas. Police found two previous traffic violations unresolved."
8/7/2011,MIN,Rhett Bomar,QB,dui,"Accused of third-degree drunk driving in Mankato, Minn."
8/2/2011,DEN,Matt Prater,K,dui,"Accused of drunk driving after allegedly backing his Chevy Trailblazer into parked car and fleeing the scene in Greenwood Village, Colo."
7/24/2011,BUF,Paul Hubbard,WR,dui,"Accused of drunk driving after his car hit a police officer in Buffalo, N.Y. Blood-alcohol content measured at 0.08."
7/17/2011,CIN,Cedric Benson,RB,assault,"Accused of misdemeanor assault after incident with former male roommate in Travis County, Texas."
7/17/2011,IND,Jerry Hughes,DE,alcohol - other,Taken into custody around 2:30 a.m. at nightclub in Dallas with TCU teammates.
7/14/2011,CIN,Marvin White,S,assault,"Accused of disturbing the peace and being verbally abusive at his child's day care center in Opelousas, La."
7/10/2011,CIN,Adam Jones,CB,alcohol - other,Accused of disorderly conduct while intoxicated and resisting arrest at bar in Cincinnati.
7/9/2011,PIT,Hines Ward,WR,dui,Accused of drunk driving in Atlanta after being pulled over about 2:30 a.m.
6/29/2011,TEN,Kenny Britt,WR,outstanding warrant,Turned himself in in Nashville on two outstanding warrants that say he provided inaccurate information on driver's license applications.
6/19/2011,PHI,Akeem Jordan,LB,assault,"Accused of assault and battery after incident at bar in Harrisonburg, Va."
6/18/2011,DET,Corey Williams,DT,dui,"Pulled over in Arkansas for crossing center line, accused of drunk driving. Breath test measured his blood-alcohol level at .10. His attorney alleged racial profiling."
6/16/2011,SEA,Raheem Brock,DE,theft,Accused of walking out on $27 restaurant tab in Philadelphia. He said they canceled order before food arrived.
6/16/2011,GB,Brandon Underwood,CB,domestic violence,"Accused of pushing wife to the ground and ripping necklace from her neck in Green Bay, Wisc."
6/9/2011,IND,Javarris James,RB,drugs,"Accused of misdemeanor marijuana possession in Fort Myers, Fla., after traffic stop for window-tint violation."
6/8/2011,TEN,Kenny Britt,WR,drugs,Accused of resisting arrest in New Jersey after police suspected him of trying to hide a marijuana cigar.
5/22/2011,CHI,Garrett Wolfe,RB,theft,"Accused of refusing to pay bill at Miami nightclub, resisting arrest and assaulting police."
5/9/2011,TB,Alex Magee,DE,drugs,"Pulled over for driving with an expired tag on his 2009 black Dodge Charger, accused of marijuana possession in Tampa, Fla."
5/6/2011,SD,Antwan Applewhite,LB,dui,"Pulled over around 2:30 a.m. in San Diego, suspected of drunken driving."
4/26/2011,WAS,Albert Haynesworth,DT,sexual abuse,"Charged with misdemeanor sexual abuse for allegedly fondling the breast of a worker in a Washington, D.C. restaurant."
4/19/2011,ATL,William Moore,S,traffic - other,"Accused of speeding in Gwinnett County, Ga., driving with a suspended license and failure to appear in court for a previous ticket."
4/12/2011,TEN,Kenny Britt,WR,obstruction,"Accused of eluding police with car chase in his hometown of Bayonne, N.J., speeding and obstruction."
4/4/2011,KC,Mike Vrabel,LB,theft,"Accused of stealing alcoholic beverages from casino deli in Florence, Ind."
4/3/2011,OAK,Louis Murphy,WR,drugs,"Pulled over in Gainesville, Fla., accused of possessing bottle of Viagra for which he had no prescription, resisting arrest."
3/29/2011,TB,Aqib Taliq,CB,firearms,Police near Dallas issued warrant accusing him of firing gun near head of sister's boyfriend.
3/26/2011,PHI,Jason Peters,OT,disorderly conduct,"Accused of playing loud music, disturbing the peace in Shreveport, La."
3/25/2011,GB,Johnny Jolly,DE,drugs,"Pulled over in Houston around 12:45 a.m., accused of having bottles of codeine, charged with intent to distribute."
3/19/2011,DAL,Bryan McCann,CB,alcohol - other,"Accused of public intoxication by Dallas police, which he denied."
3/17/2011,OAK,Mario Henderson,OT,firearms,"Pulled over in Fort Myers, Fla., and accused of carrying a concealed weapon an d playing music too loud."
3/16/2011,NYG,Joe Burnett,CB,dui,"Pulled over in Orlando, charged with drunken driving."
3/12/2011,MIN,Chris Cook,CB,firearms,"Accused of brandishing a gun during an argument in Lynchburg, Va., with a neighbor."
3/4/2011,PHI,King Dunlap,OT,disorderly conduct,Accused of reckless driving and disorderly conduct in Nashville after allegedly driving his Escalade onto sidewalk near arena.
2/12/2011,OAK,Michael Bush,RB,dui,"Suspected of drunk driving in Clarksville, Ind."
2/12/2011,SD,Legedu Naanee,WR,alcohol - other,"Accused of public intoxication, resisting arrest after refusing orders to stay away from homicide scene in Indianapolis."
2/9/2011,TEN,Kenny Britt,WR,theft,Accused of theft by deception after allegedly not paying two bail bonds companies in New Jersey on behalf of his friend.
2/2/2011,WAS,Albert Haynesworth,DT,assault,Accused of punching motorist in Virginia in traffic altercation after the alleged victim made gesture at Haynesworth for tailgaiting.
