date,team,player,position,crimeraw,desc
7/14/2018,ARI,Ricky Seals-Jones,TE,assault,"Accused of pushing hotel staffer in effort to use the restroom in Scottsdale, Ariz."
6/15/2018,DAL,Marquez White,CB,assault,Accused of aggravated assault with a deadly weapon in apparent road-rage incident near Dallas.
6/9/2018,CIN,Logan Woodside,QB,dui,"Pulled over in Kentucky for speeding, suspected of drunken driving."
6/3/2018,IND,Chris McCain,DE,battery,"Accused of spitting on a woman and grabbing her neck in Los Angeles in Jan. 7, when he was a member of the Chargers."
6/2/2018,NYJ,Chris Herndon,TE,dui,"Suspected of driving while intoxicated Morris County, N.J., after crashing into the vehicle of a 76-year-old man."
5/19/2018,MIN,Antwione Williams,LB,dui,"Pulled over for speeding in Edina, Minn., suspected of driving drunk."
5/19/2018,DAL,Terrance Williams,WR,alcohol - other,"Suspected of public intoxication after police in Frisco, Texas found his Lamborghini abandoned after hitting a pole."
4/15/2018,GB,Trevor Davis,WR,bomb threat,Accused of talking about explosives when checking for flight at Los Angeles airport.
4/15/2018,PHI,Daryl Worley,CB,dui,Accused of resisting arrest after being found unconscious in car blocking highway in Philadelphia. Gun without permit recovered from the scene.
3/23/2018,SEA,Michael Bennett,DE,injury to elderly,Accused of pushing his way past a 66-year-old parapalegic security worker at the Super Bowl in Houston in 2017 when Bennett was a spectator and played for Seattle.
3/23/2018,NE,Duron Harmon,S,drugs,"Apprehended at Costa Rica airport, accused of carrying 58 grams of marijuana inside a can of iced tea."
3/19/2018,BUF,Zay Jones,WR,vandalism,Accused of breaking glass window in bloody argument with his brother in Los Angeles. Jones apparently was nude during the incident.
3/7/2018,DEN,Adam Gotsis,DE,sexual abuse,"Apprehended in Atlanta, accused of rape in an incident that happened in 2013 when Gotsis was a student at Georgia Tech."
3/3/2018,OAK,Aldon Smith,LB,domestic violence,Smith allegedly fled the scene of a domestic incident in which the victim suffered non-life-threatening injuries in San Francisco.
2/26/2018,NYJ,Dylan Donahue,LB,dui,"Accused of drunken driving, driving wrong way in Lincoln Tunnel in New York-New Jersey and crashing into a bus with a blood-alchohol content of 0.15."
2/11/2018,SF,Reuben Foster,LB,domestic violence,"Suspected of domestic violence, possession of an assault rifle and making criminal threats in Los Gatos, Calif."
2/1/2018,CIN,Josh Tupou,DT,alcohol - other,"Kicked out of bar in Boulder, Colo., accused of violating probation from 2015 altercation."
1/25/2018,BAL,Marlon Humphrey,CB,robbery,Accused of stealing $15 phone charger and refusing to give it back to an Uber driver in Alabama.
1/25/2018,KC,Kevin Pierre-Louis,LB,drugs,"Pulled over in Kansas, accused of marijuana possesion and related misdemeanors."
1/19/2018,NYJ,Robby Anderson,WR,evading police,"Accused of reckless driving in Sunrise, Fla., resisting arrest, fleeing police and threatening a police officer's family."
1/14/2018,DEN,Carlos Henderson,WR,drugs,"He was the passenger in a car pulled over for speeding in West Monroe, La., and was suspected of marijuana possession."
1/14/2018,SEA,Jeremy Lane,CB,dui,"Pulled over and suspected of drunken driving in King County, Wash. Lane said his blood-alcohol content was .03."
1/12/2018,SF,Reuben Foster,LB,drugs,"Accused of misdemeanor marijuana possession in Tuscaloosa, Ala."
1/3/2018,TB,T.J. Ward,S,drugs,"Accused of marijuana possession in Tampa, based on outstanding warrant from incident in October 2017."
12/15/2017,NYJ,Rashard Robinson,CB,drugs,"Pulled over for careless driving in Hanover Township, N.J., accused of possessing candy containing marijuana."
12/10/2017,SEA,Malik McDowell,DT,disorderly conduct,Accused of being disruptive at night club in Georgia despite police warnings.
11/18/2017,MIA,Rey Maualuga,LB,battery,Accused of grabbing and shoving a person at Miami nightclub after refusing to pay a $40 bar tab.
11/13/2017,CAR,Matt Kalil,OT,alcohol - other,Accused of selling alcohol to minor at pizza restaurant he owns in Minnesota despite not being present for sale.
11/11/2017,KC,Roy Miller,DT,domestic violence,Suspected of domestic battery in Jacksonville. Arrest report said his wife had marks on her face and neck after confrontation.
10/5/2017,CIN,Tyler Boyd,WR,drugs,Charged with owning a vape pen containing marijuana ingredient after friend crashed his car in Pittsburgh in July.
10/1/2017,GB,Aaron Jones,RB,dui,"Pulled over for speeding in Ashwaubenon, Wisc., accused of operating a vehicle with a restricted substance after smoking marijuana."
10/1/2017,GB,Aaron Jones,RB,drugs,"Pulled over for speeding in Ashwaubenon, Wisc., accused of operating a vehicle with a restricted substance after smoking marijuana."
9/22/2017,LAR,Ethan Westbrooks,DE,firearms,"Pulled over for speeding near Bakersfield, Calif. Police found gun in his car and suspected him of carrying a stolen loaded firearm."
9/2/2017,GB,Lance Kendricks,TE,drugs,"Pulled over speeding in Wisconsin, cited for marijuana possession."
9/1/2017,CLE,T.Y. McGill,DT,drugs,Accused of misdemeanor marijuana posession at hotel in Charlotte.
8/18/2017,NYG,Michael Bowie,OT,domestic violence,"Accused of domestic assault and battery, grabbing girlfriend by the neck and throwing her to the ground in Tulsa."
8/17/2017,OAK,Sean Smith,CB,assault,"Charged with felony assault for incident in Pasadena, Calif., on July 4. Accused of stomping on head of sister's boyfriend."
7/18/2017,JAC,Dante Fowler,DE,battery,"Accused of hitting a man who criticized his driving in St. Petersburg, Fla."
7/16/2017,HOU,D'Onta Foreman,RB,drugs,"Accused of marijuana possession and unlawfully carrying a gun in Austin, Texas."
7/16/2017,HOU,D'Onta Foreman,RB,firearms,"Accused of marijuana possession and unlawfully carrying a gun in Austin, Texas."
7/9/2017,BUF,Adolphus Washington,DT,firearms,"Accused of carrying a concealed weapon at water park in Sharonville, Ohio, leading to intense encounter with police."
7/4/2017,DAL,Damien Wilson,LB,assault,"Charged with two counts of aggravated assault with a deadly weapon in Frisco, Texas after allegedly brandishing rifle at a man."
7/4/2017,DAL,Damien Wilson,LB,firearms,"Charged with two counts of aggravated assault with a deadly weapon in Frisco, Texas after allegedly brandishing rifle at a man."
6/29/2017,PIT,Artie Burns,CB,traffic - other,"Pulled over in Miami Beach, accused of driving with a suspended license."
6/21/2017,GB,Letroy Guion,DT,dui,"Pulled over in Hawaii, suspected of drunken driving."
6/21/2017,NYJ,Lorenzo Mauldin,LB,assault,Accused of attacking man at nightclub in New York April 2.
6/11/2017,NO,Willie Snead,WR,dui,"Accused of drunk driving in Kenner, La., where his car had crashed and he registered a blood-alcohol content of .125."
6/4/2017,NYG,Roger Lewis,WR,dui,"Pulled over in Reynoldsburg, Ohio, acccued of operating a vehicle while impaired after police smelled marijuana."
6/4/2017,NYG,Roger Lewis,WR,drugs,"Pulled over in Reynoldsburg, Ohio, acccued of operating a vehicle while impaired after police smelled marijuana."
5/29/2017,DAL,Nolan Carroll,CB,dui,"Pulled over in Dallas, suspected of driving while intoxicated."
5/9/2017,NYJ,Dylan Donahue,LB,dui,"Accused of drunken driving in Billings, Montana."
5/7/2017,NYJ,Robby Anderson,WR,resisting arrest,Accused of fighting police and security at music festival in Miami.
4/14/2017,CAR,Michael Oher,OT,assault,Accused of getting into scuffle with Uber driver in Nashville in apparent dispute over fare.
4/7/2017,WAS,Junior Galette,LB,disorderly conduct,"Accused of getting into a fight and running away from police in Biloxi, Miss."
4/6/2017,SEA,Trevone Boykin,QB,probation violation,Apprehended in San Antonio for violating probation with March 27 arrest. Probation stemmed from 2015 bar fight while at TCU.
4/6/2017,SF,Tramaine Brock,CB,domestic violence,"Suspected of felony domestic violence in Santa Clara, Calif. Officers said female had visible injuries."
4/1/2017,ARI,Marquis Bundy,WR,disorderly conduct,"Suspected of failing to obey police commands after getting agitated outside club in Scottsdale, Ariz."
3/31/2017,DEN,Will Parks,S,domestic violence,"Accused of harassment and non-physical domestic violence in incident involving his former girlfriend in Englewood, Colo."
3/27/2017,SEA,Trevone Boykin,QB,drugs,"Accused of marijuana possession, public intoxication. He was a passenger in a car involved in accident in Dallas."
3/26/2017,GB,Makinton Dorleant,CB,obstruction,"Accused of interfence after scuffle outside of bar in Cedar Falls, Iowa."
3/26/2017,CHI,Deiondre Hall,CB,disorderly conduct,"Accused of disorderly conduct, public intoxication and interference outside bar in Cedar Falls, Iowa."
3/7/2017,KC,Demetrius Harris,TE,drugs,Suspected of felony marijuana possession as passenger in car pulled over in Missouri.
3/5/2017,LAR,Ethan Westbrooks,DT,domestic violence,"Suspected of domestic violence in Sacramento, Calif., after police observed injuries to mother of his child."
2/25/2017,BAL,Matt Elam,S,drugs,"Pulled over in Miami Beach, accused of possessing marijuana, Oxycodone."
2/25/2017,IND,David Parry,DT,dui,"Suspected of stealing golf cart, driving drunk, resisting arrest in Scottsdale, Ariz."
2/25/2017,IND,David Parry,DT,resisting arrest,"Suspected of stealing golf cart, driving drunk, resisting arrest in Scottsdale, Ariz."
2/16/2017,LAC,King Dunlap,OT,violating court order,Suspected of violating protective order in Nashville stemming from domestic incident.
2/16/2017,NYJ,Darrelle Revis,CB,assault,Accused of aggravated assault after altercation in Pittsburgh. Video shows two men on the ground unconscious.
1/12/2017,GB,Sam Shields,CB,drugs,"Accused of misdemeanor marijuana possession from incident in Ashwaubenon, Wisc., on Oct. 19, 2016."
1/10/2017,LAR,Tre Mason,RB,evading police,"Accused in Palm Beach County, Fla., of fleeing law enforcement, careless driving on an ATV in July 2016."
1/4/2017,KC,Khaseem Greene,LB,firearms,"Accused of unlawful possession of a weapon and handing gun to a man who fired into a crowd in Union County, N.J."
1/2/2017,CIN,Adam Jones,CB,assault,"Accused of poking hotel security employee in the eye in Cincinnati, obstructing police."
12/17/2016,SEA,Damontre Moore,DE,dui,"Suspected of driving while intoxicated in King County, Washington."
12/15/2016,GB,Geronimo Allison,WR,drugs,"Accused of marijuana possession after getting pulled over for speeding in Manitowoc County, Wisc., in September."
12/12/2016,ARI,Michael Floyd,WR,dui,"Found unconscious in idle car in Scottsdale, Ariz., charged with drunken driving."
11/29/2016,MIA,Leon Orr,DT,drugs,"Pulled over for tinted windows, charged with marijuana possession near Naples, Fla. Deputies also found gun in car."
11/19/2016,LAR,Troy Hill,CB,dui,"Suspected of drunken driving after crashing into a big rig on the freeway in Encino, Calif."
11/1/2016,PHI,Josh Huff,WR,dui,"Pulled over on bridge next to Camden County, N.J., and accused of drunken driving, marijuana possession and having an unloaded gun without a permit."
11/1/2016,PHI,Josh Huff,WR,drugs,"Pulled over on bridge next to Camden County, N.J., and accused of drunken driving, marijuana possession and having an unloaded gun without a permit."
11/1/2016,PHI,Josh Huff,WR,firearms,"Pulled over on bridge next to Camden County, N.J., and accused of drunken driving, marijuana possession and having an unloaded gun without a permit."
10/12/2016,MIN,Isame Faciane,OG,dui,"Charged with drunken driving after being pulled over for driving around barricades in Hennepin County, Minn."
10/2/2016,PHI,Nigel Bradham,LB,firearms,Accused of carrying loaded gun through airport security in Miami.
9/26/2016,CLE,Alvin Bailey,OG,dui,"Accused of operating a vehicle under the influence of alcohol and having drug paraphernalia in his car in North Royalton, Ohio."
9/16/2016,TB,Austin Seferian-Jenkins,TE,dui,"Pulled over for speeding and driving erratically, accused of drunken driving in Tampa."
9/5/2016,SF,Bruce Miller,TE,assault,Accused of assaulting a man and his 70-year-old father at hotel in San Francisco.
7/25/2016,PHI,Nigel Bradham,LB,assault,Suspected of punching somebody in the nose at a Miami Beach hotel after verbal altercation.
7/14/2016,BUF,Jonathan Williams,RB,dui,"Accused of driving while intoxicated in Fayetteville, Ark."
7/8/2016,IND,Robert Turbin,RB,drugs,Police in Utah accused him of marijuana possession after pulling him over for running a stop sign and then smelling it in his car.
6/19/2016,JAC,Dan Skuta,LB,battery,Accused of pushing a woman's face with an open hand after she refused to give him her phone number in Orlando.
5/30/2016,DEN,Cody Latimer,WR,traffic - other,Latimer called police and alleged his girlfriend hit him. Police found outstanding traffic warrant from 2015 and arrested him for that in Colorado..
5/10/2016,LAR,T.J. McDonald,S,dui,"Suspected of hitting a parked car in Woodland Hills, Calif., and driving under the influence of a substance other than alcohol."
4/24/2016,CAR,Cameron Artis-Payne,RB,reckless endagerment,Accused of driving 102 mph in a 65-mph zone in North Carolina.
3/21/2016,ATL,Ra' Shede Hageman,DT,domestic violence,"Police report said his girlfriend had lacerations on elbow and hand, also accused of cruelty to children."
3/18/2016,NO,Damian Swann,CB,reckless endagerment,"Pulled over in Athens, Ga., accused of driving 100 mph in 65-mph zone, reckless driving."
3/5/2016,LAR,Tre Mason,RB,drugs,"Pulled over in Hollywood, Fla., accused of reckless driving, marijuana possession and resisting arrest."
3/4/2016,BAL,Terrell Suggs,LB,traffic - other,"Accused of leaving the scene of an accident and driving with a suspended license in Scottsdale, Ariz."
2/28/2016,HOU,Jaelen Strong,WR,drugs,"Accused of marijuana possession after traffic stop in Scottsdale, Ariz."
2/17/2016,IND,Jonathan Newsome,LB,drugs,"Accused of marijuana possession in Zionsville, Ind., after police responded to a complaint about loud music at his residence."
2/13/2016,DEN,Shiloh Keo,S,dui,"Accused of drunken driving in Ada County, Idaho."
2/5/2016,NE,Montee Ball,RB,domestic violence,"Accused of disorderly conduct and battery after allegedly striking his girlfriend in the face in Madison, Wisc."
1/30/2016,CLE,Johnny Manziel,QB,domestic violence,Former girlfriend accused him of striking her after leaving a bar in Dallas. Grand jury indicted him on misdemeanor charge in April 2016.
1/23/2016,NE,J.J. Worton,WR,assault,"Accused of assault and battery after fight at a bar in Foxboro, Mass."
12/25/2015,CLE,Armonty Bryant,LB,drugs,"Accused of illegally possessing Adderrall after failing to produce a prescription for it in traffic stop with teammate De'Ante Saunders in Brook Park, Ohio.."
12/25/2015,CLE,De'Ante Saunders,S,dui,"Pulled over for speeding, cited for driving drunk. Gun found in car without permit."
12/19/2015,JAC,Justin Blackmon,LB,dui,"Accused of drunken driving in Carter County, Okla. Blackmon already was serving an indefinite NFL suspension at the time of his arrest."
10/15/2015,SEA,Derrick Coleman,FB,hit-and-run,"Accused of leaving the scene of an accident after his vehicle struck the back of a Honda Civic, causing the driver to suffer serious injuries in Bellevue, Wash."
9/30/2015,TEN,Dorial Green-Beckham,WR,outstanding warrant,"Pulled over for speeding in Missouri, where officer found an outstanding warrant for previous unpaid speeding ticket."
8/26/2015,SF,Ahmad Brooks,LB,sexual abuse,"Accused of misdemeanor sexual battery in Santa Clara County, Calif., stemming from a December 2014 incident at the home of teammate Ray McDonald."
8/6/2015,SF,Aldon Smith,LB,dui,"Accused of hitting a parked vehicle with his vehicle, being under the influence of alcohol and vandalism in Santa Clara, Calif."
7/28/2015,CAR,Stephen Hill,WR,drugs,"Pulled over for seatbelt violation in Concord, N.C., cited for possession of drug paraphernalia after officer smelled marijuana."
7/20/2015,KC,Justin Cox,DB,domestic violence,"Accused of domestic violence, trespassing and burglary in Mississippi."
7/20/2015,TEN,Justin Hunter,WR,assault,Charged with felonious assault stemming from an incident at a Virginia Beach bar July 4.
7/14/2015,NYJ,Sheldon Richardson,DE,resisting arrest,"Accused of resisting arrest after street racing, speeding and running through a traffic signal in Missouri. Gun found under seat."
7/13/2015,NYG,Josh Brown,K,violating court order,Accused of violating protective order obtained by wife in Washington state after his previous arrest. The order prevented him from being within 500 feet of her.
7/4/2015,GB,Andrew Quarless,TE,firearms,"Accused of firing a gun in public in Miami Beach, a misdemeanor offense."
7/1/2015,HOU,Brandon Ivory,DT,burglary,Accused of first-degree burglary in Alabama after victims said two armed men kicked in their door and stole cash and iPads.
6/7/2015,NE,Brandon Spikes,LB,hit-and-run,"Accused of leaving the scene of a crash in Foxborough, Mass., in which a woman and boy in another car suffered minor injuries."
5/29/2015,ATL,Prince Shembo,LB,animal abuse,"Accused of killing ex-girlfriend's Yorkie dog, which showed extensive injuries. Charged with felony aggravated animal cruelty in Gwinnett County, Ga."
5/25/2015,CHI,Ray McDonald,DT,domestic violence,"Accused of assaulting a woman while she was holding a baby in Santa Clara, Calif."
5/22/2015,NYG,Josh Brown,K,domestic violence,"Accused of fourth-degree domestic violence by wife, who later obtained a protective order against him in Washington state."
4/17/2015,DET,Rodney Austin,OG,domestic violence,Accused of pushing mother of his child and damaging her phone in North Carolina on April 5. Police say they observed no signs of injury.
3/29/2015,NO,Brian Dixon,CB,resisting arrest,"Pulled over in Miami, accused of resisting officer who ticketed him for driving in the middle of the road on his scooter."
3/18/2015,BAL,Bernard Pierce,RB,dui,Failed sobriety tests after his 2014 Ford Mustang was pulled over for speeding in Baltimore County.
3/15/2015,PIT,Antwon Blake,CB,alcohol - other,"Accused of being drunk in public in Oceanside, Calif."
3/9/2015,ARI,Alex Okafor,LB,evading police,"Accused of running from the scene after police received a report of a disturbance and then tried to detain him in Austin, Texas."
3/5/2015,SF,Bruce Miller,FB,domestic violence,"Suspected of misdemeanor battery in domestic incident in Santa Clara, Calif."
3/1/2015,GB,Jarrett Bush,CB,alcohol - other,"Accused of disorderly conduct while under the influence after police received a report of a fight in Vacaville, Calif."
3/1/2015,BAL,Victor Hampton,CB,dui,"Pulled over in Charlotte, accused of driving while impaired and driving 100 mph in a 55-mph zone."
2/16/2015,PHI,Nate Allen,S,indecent exposure,"Pulled over in Fort Myers, Fla., after a girl said she saw a man exposing himself. He later was exonerated after ""false arrest."""
2/5/2015,IND,Ahmad Bradshaw,RB,drugs,"Pulled over in Preble County, Ohio, for traffic violation, accused of marijuana possession."
2/4/2015,DAL,Joseph Randle,RB,drugs,"Accused of marijuana possession in Wichita, Kan., after report of domestic disturbance at hotel. No signs of injury, police said."
2/3/2015,GB,Letroy Guion,DT,drugs,"Pulled over in Starke, Fla., accused of felony drug possession with 357 grams of marijuana. He also had a gun and $190,000 in cash."
2/3/2015,GB,Letroy Guion,DT,firearms,"Pulled over in Starke, Fla., accused of felony drug possession with 357 grams of marijuana. He also had a gun and $190,000 in cash."
2/3/2015,IND,D'Qwell Jackson,LB,assault,"Accused of hitting a pizza delivery driver in the head in a dispute over a parking space in Washington, D.C."
2/2/2015,BAL,Terrence Cody,DT,animal abuse,"Charged with two felony counts of aggravated animal cruelty in Baltimore County after one of his dogs died, illegal possession of alligator and marijuana."
2/2/2015,BAL,Terrence Cody,DT,drugs,"Charged with two felony counts of aggravated animal cruelty in Baltimore County after one of his dogs died, illegal possession of alligator and marijuana."
