player,position,crimeraw,crime_count
Vince Young,QB,assault,1
Mario Urrutia,WR,license,1
Fred Davis,TE,license,1
Maurice Purify,WR,disorderly conduct,1
Chris Jennings,RB,assault,1
Fred Davis,TE,license,1
Ronnie Brown,RB,dui,1
Spencer Havner,TE,dui,1
Deon Anderson,FB,gun,1
Chad Rinehart,OT,public intoxication,1
Vincent Jackson,WR,license,1
Kenny Britt,WR,license,1
Taj Smith,WR,dui,1
Eric Weems,WR,dui,1
Marcus Johnson,OG,dui,1
Braylon Edwards,WR,assault,1
Jeff Reed,K,alcohol,1
Matt Spaeth,TE,public urination,1
Lance Louis,OT,assault,1
Richard Quinn,TE,domestic violence,1
Chris Davis,WR,dui,1
Vonta Leach,FB,assault,1
Owen Schmitt,FB,dui,1
Quinn Ojinnaka,OT,domestic violence,1
Brandon Walker,OG,dui,1
Corey McIntyre,FB,indecent exposure,1
Brandon Walker,OG,outstanding warrant,1
Anthony Mix,WR,sex,1
Biren Ealy,WR,alcohol,1
Kolomona Kapanui,TE,alcohol,1
Donte Stallworth,WR,"dui, manslaughter",2
Cornell Green,OT,domestic violence,1
Matt Jones,WR,alcohol,1
Brandon Marshall,WR,domestic dispute,1
Jeff Reed,K,disorderly conduct,1
Marshawn Lynch,RB,"guns, drugs",2
Reggie Williams,WR,"dui, drugs",2
Michael Merritt,TE,drugs,1
Jonathan Dekker,TE,obstruction,1
Vincent Jackson,WR,dui,1
Jeremy Bridges,OG,assault,1
Plaxico Burress,WR,gun,1
Kareem McKenzie,OG,dui,1
Larry Johnson,RB,assault,1
Santonio Holmes,WR,drugs,1
Danny Ware,RB,alcohol,1
Fred Taylor,RB,disorderly conduct,1
Jameel Cook,RB,drugs,1
Matt Jones,WR,drugs,1
J.J. Arrington,RB,disorderly conduct,1
Ahmad Bradshaw,RB,probation violation,1
Brandon Jones,WR,gun,1
Cedric Benson,RB,dui,1
Marshawn Lynch,RB,reckless driving,1
Cedric Benson,RB,dui,1
Nick Kaczur,OT,drugs,1
Kenton Keith,RB,alcohol,1
Reagan Mauia,RB,battery,1
Chris Henry,WR,assault,1
Cedrick Wilson,WR,domestic violence,1
Jacoby Jones,WR,dui,1
LenDale White,RB,disorderly conduct,1
Dwayne Jarrett,WR,dui,1
Brandon Marshall,WR,domestic violence,1
Kevin Faulk,RB,drugs,1
Larry Johnson,RB,assault,1
Bryant McKinnie,OT,battery,1
Andre Hall,RB,license,1
Jerome Mathis,WR,domestic violence,1
Roscoe Parrish,WR,dui,1
Matt Prater,K,dui,1
Daniel Graham,TE,domestic violence,1
Stockar McDougle,OT,battery,1
Todd Sauerbrun,P,"alcohol, assault",2
Darrell Hackney,QB,dui,1
Chester Pitts,OG,resisting arrest,1
Richard Collier,OT,dui,1
Claude Terrell,OG,domestic violence,1
Brandon Marshall,WR,dui,1
Kili Lefotu,OG,"alcohol, assault",2
Najeh Davenport,RB,domestic violence,1
Khalif Barnes,OT,reckless driving,1
David Boston,WR,dui,1
Jeremy Bridges,OT,"assault, gun",2
Michael Vick,QB,dogfighting,1
Chris Chambers,WR,dui,1
Kelly Campbell,WR,drugs,1
Quincy Wilson,RB,disorderly conduct,1
Mike Mason,WR,disorderly conduct,1
David Kircus,WR,assault,1
Steve McNair,QB,dui,1
Anthony Davis,OT,disorderly conduct,1
Lionel Gates,RB,domestic violence,1
Brandon Marshall,WR,domestic violence,1
D'Anthony Batiste,OG,gun,1
Chris Henry,WR,license,1
Jerramy Stevens,TE,dui,1
Charles Sharon,WR,"gun, drugs",2
Dominique Byrd,TE,dui,1
Michael Vick,QB,trespassing,1
Dominic Rhodes,RB,dui,1
Ryan Krause,TE,dui,1
DeDe Dorsey,RB,gun,1
Ross Verba,OG,outstanding warrant,1
Travis Taylor,WR,assault,1
Dominique Byrd,TE,assault,1
Reggie McNeal,WR,"drugs, resisting arrest",2
Adrian Jones,OT,dui,1
Antonio Bryant,WR,dui,1
Fred Weary,C,resisting arrest,1
Khalif Barnes,OT,dui,1
B.J. Sams,WR,dui,1
Koren Robinson,WR,dui,1
Barrett Brooks,OT,evading police,1
Eric Steinbach,OG,dui,1
John Gilmore,TE,drugs,1
Jammal Brown,OT,domestic violence,1
Jabar Gaffney,WR,gun,1
Santonio Holmes,WR,domestic violence,1
Chris Henry,WR,alcohol,1
Vincent Jackson,WR,dui,1
Chris Henry,WR,dui,1
Santonio Holmes,WR,disorderly conduct,1
Cory Rodgers,WR,gun,1
Ataveus Cash,WR,license,1
Wayne Hunter,OT,assault,1
Reuben Droughns,RB,domestic violence,1
Jake Plummer,QB,property destruction,1
Donte Stallworth,WR,resisting arrest,1
Trai Essex,OT,disorderly conduct,1
Damion McIntosh,OT,domestic violence,1
Chris Henry,WR,gun,1
Sean Locklear,OT,domestic violence,1
Reggie Williams,WR,drugs,1
Terry Glenn,WR,"disorderly conduct, alcohol",2
Daunte Culpepper,QB,"disorderly conduct, sex",2
Chris Henry,WR,drugs,1
Bryant McKinnie,OT,"disorderly conduct, sex",2
Moe Williams,RB,"disorderly conduct, sex",2
Reuben Droughns,RB,dui,1
Marcus Johnson,OG,disorderly conduct,1
Bryant McKinnie,OT,disorderly conduct,1
Larry Johnson,RB,domestic violence,1
Lawrence Tynes,K,battery,1
B.J. Sams,WR,dui,1
Randy McMichael,TE,"domestic violence, alcohol",2
David Kircus,WR,dui,1
Kellen Winslow Jr.,TE,reckless driving,1
Tyrone Calico,WR,sex,1
Koren Robinson,WR,dui,1
Ahman Green,RB,domestic violence,1
Brad Hopkins,OT,domestic violence,1
Larry Ned,RB,theft,1
Kelly Campbell,WR,"gun, drugs",2
David Terrell,WR,violating court order,1
